shot_id1,player1,stroke_type1,spin_type1,shot_id2,player2,stroke_type2,spin_type2,dtw_distance
roger_federer_bh_ft1_01,Roger Federer,Backhand 1H,Flat,roger_federer_bh_ft1_02,Roger Federer,Backhand 1H,Flat,36.29651288606736
roger_federer_bh_ft1_03,Roger Federer,Backhand 1H,Flat,roger_federer_bh_ft1_02,Roger Federer,Backhand 1H,Flat,36.41203591674151
roger_federer_bh_ft1_04,Roger Federer,Backhand 1H,Flat,roger_federer_bh_ft1_02,Roger Federer,Backhand 1H,Flat,68.11543287521738
carlos_alcaraz_bh_ft2_01,Carlos Alcaraz,Backhand 1H,Flat,roger_federer_bh_ft1_02,Roger Federer,Backhand 1H,Flat,123.1484328135121
roger_federer_bh_sl1_02,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,39.91433762191643
roger_federer_bh_sl1_04,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,42.71630964304377
roger_federer_bh_sl1_07,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,43.62843449906197
roger_federer_bh_sl1_11,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,43.944892711630054
roger_federer_bh_sl1_09,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,44.60257998218638
roger_federer_bh_sl1_06,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,48.15196885200628
roger_federer_bh_sl1_03,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,53.40323779280655
roger_federer_bh_sl1_05,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,53.92636981751342
roger_federer_bh_sl1_12,Roger Federer,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,60.42876623203874
novak_djokovic_bh_sl1_01,Novak Djokovic,Backhand 1H,Slice,roger_federer_bh_sl1_01,Roger Federer,Backhand 1H,Slice,61.82214327524645
